url,comment,year,photographer,number,road,suburb,lat,lon
http://purl.slwa.wa.gov.au/slwa_b1763478_1,"Federal Hotel, 179 Wellington Street, Perth, ca.1905",1905,,179,WELLINGTON STREET,PERTH,-31.951837,115.859879
http://purl.slwa.wa.gov.au/slwa_b1763521_1,"006207PD: Supreme Court Building, Perth. Sign reads: Dogs not allowed in the garden, ca.1905",1905,,,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1764206_1,"Supreme Court building, Perth, 1907",1907,"Rome, E. G.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1764270_1,"009690PD: Perth Public Hospital, Murray Street, 1906",1906,"Rome, E. G.",10,MURRAY STREET,PERTH,-31.954227,115.865781
http://purl.slwa.wa.gov.au/slwa_b1764898_1,"Tram track cleaner, Perth, ca.1905",1905,,,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1774430_1,"009804PD: St. Andrew's Presbyterian Church, Perth, ca. 1908",1908,,,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1775050_1,"State Treasury building and General Post Office, St. George's Terrace, Perth, 1907",1907,"Rome, E. G.",,ST GEORGES TERRACE,PERTH,-31.957116,115.865318
http://purl.slwa.wa.gov.au/slwa_b1775055_1,"009950PD: Surrey Chambers, ca. 1907",1907,,,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1775276_1,"The Chinese Arch, St. George's Terrace Perth, July 1901",1901,,,ST GEORGES TERRACE,PERTH,-31.957116,115.865318
http://purl.slwa.wa.gov.au/slwa_b1775493_1,"Supreme Court building, Perth, ca.1905",1905,,,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1851997_001,"022348PD: An illustrated poem about golf. The heading reads Archery: the Right Honorable the Earl of Minto, ca. 1900",1900,,,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1889247_1,"325436PD: Hay Street, Perth, 16 January 1981",1981,"Stevenson, Kinder & Scott Corporate Photography.",,HAY STREET,PERTH,-31.955438,115.862428
http://purl.slwa.wa.gov.au/slwa_b1889331_1,"325435PD: Cinema City, Perth, 16 January 1981",1981,"Stevenson, Kinder & Scott Corporate Photography.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1889894_1,"322282PD: Home unit interior, Perth, 1981",1981,"Stevenson, Kinder & Scott Corporate Photography.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1889901_1,"322281PD: Home unit, exterior, Perth, 1981",1981,"Stevenson, Kinder & Scott Corporate Photography.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1890806_1,"323974PD: Town and Country Building Society offices cnr St. George's Tce and Barrack St, Perth, 14 March 1986",1986,"Stevenson, Kinder & Scott Corporate Photography.",,ST GEORGES TERRACE,PERTH,-31.957116,115.865318
http://purl.slwa.wa.gov.au/slwa_b1890843_1,"323975PD: Broadlands Centre, corner Hay and Pier Streets, Perth, 14 March 1986",1986,"Stevenson, Kinder & Scott Corporate Photography.",,PIER STREET,PERTH,-31.952429,115.862878
http://purl.slwa.wa.gov.au/slwa_b1891287_1,"323339PD: Kimberley House, Barrack Street, Perth, 11 October 1984",1984,"Stevenson, Kinder & Scott Corporate Photography.",,BARRACK STREET,PERTH,-31.955371,115.859669
http://purl.slwa.wa.gov.au/slwa_b1897519_1,"343276PD: Allan Green Plant Conservatory, The Esplanade, Perth, 20 June 1985",1985,"Stevenson, Kinder & Scott Corporate Photography.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b1897522_1,"348314PD: South east corner of Hay and Irwin Streets intersection, Perth, 18 March 1987",1987,"Stevenson, Kinder & Scott Corporate Photography.",,IRWIN STREET,PERTH,-31.955980,115.863582
