Location,Number,Street,Suburb,Lat,Lon
Kings Park,,Fraser Avenue,Perth,-31.95427191,115.8443069
Museum,8,The Esplanade,Perth,-31.95636,115.85801
Art Gallery,,Roe Steet,Perth,-31.9497777,115.860844
State Library,25,Francis Street,Perth,-31.9497777,115.860844
Fremantle Prison,1,The Terrace,Fremantle,-32.05500074,115.753544
Zoo,20,Labouchere Road,South Perth,-31.97686017,115.854452
Bell Tower,,Riverside Drive,Perth,-31.95925,115.85716
Aquarium,91,Southside Drive,Hillarys,-31.82558,115.74028
Palace Arcade,84,Beaufort Street,Perth,-31.94962,115.86299
Carillon City,207,Murray Street,Perth,-31.95358069,115.8586446
Trinity Arcade,72,Hay Street,Perth,-31.95543766,115.8624282
London Court,647,Hay Street,Perth,-31.95486174,115.8598922
St Marys Cathedral,41,Victoria Square,Perth,-31.95538103,115.8664332
Saint Marys Cathedral,41,Victoria Square,Perth,-31.95538103,115.8664332
St Georges Cathedral,38,St Georges Terrace,Perth,-31.95586058,115.861284
Saint Georges Cathedral,38,St Georges Terrace,Perth,-31.95586058,115.861284
St Marys Church,3,Yule Avenue,Middle Swan,-31.863411,116.009158
Saint Marys Church,318,Shepperton Road,East Victoria Park,-31.98743623,"	115.9097819"
St Matthews Church,,Meadow Street,Guildford,-31.90084531,115.9709433
Saint Matthews Church,,Meadow Street,Guildford,-31.90084531,115.9709433
Basilicia of St Patrick,47,Adelaide Street,Fremantle,-32.05085,115.7501
Basilicia of Saint Patrick,47,Adelaide Street,Fremantle,-32.05085,115.7501
Curtin University,,Kent Street,Bentley,-32.01165816,115.8881779
University of Western Australia,35,Stirling Highway,Crawley,-31.98006804,115.8188195
UWA,35,Stirling Highway,Crawley,-31.98006804,115.8188195
Murdoch University,90,South Street,Murdoch,-32.07156866,115.8346369
Edith Cowan University ,2,Bradford Street,Mount Lawley,-31.9190849,115.8690055
ECU,2,Bradford Street,Mount Lawley,-31.9190849,115.8690055
Queens Gardens,156,Hay Street,East Perth,-31.95928,115.87686
Central Park,158,St Georges Terrace,Perth,-31.9537,115.85568
Government House,13,St Georges Terrace,Perth,-31.9575972,115.8622524
Perth Beach,,Challenger Parade,City Beach,-31.937,115.7551
City Beach,,Challenger Parade,City Beach,-31.937,115.7551
Cottesloe Beach,91,Marine Parade,Cottesloe,-31.99677892,115.7515825
North Beach,251,West Coast Drive,North Beach,-31.86584,115.75315
Port Beach,44,Port Beach Road,North Fremantle,-32.03936599,115.7435548
Scarborough Beach,171,The Esplanade,Scarborough,-31.89475745,115.7563499
Barracks Arch,52,Malcom Street,Perth,-31.9523,115.8489
Pensioner Barracks,52,Malcom Street,Perth,-31.9523,115.8489
